movie_title,language,genres,num_user_for_reviews,num_critic_for_reviews,cast_total_facebook_likes,color,country,facenumber_in_poster,content_rating,budget,title_year,duration,num_voted_users,imdb_score,aspect_ratio,actor_2_facebook_likes,movie_facebook_likes,actor_3_facebook_likes,director_facebook_likes,actor_1_facebook_likes
GoldenEye,English,Action|Adventure|Thriller,422,142,21922,Color,UK,2,PG-13,60000000,1995,130,206528,7.2,2.4,3600,3400,3400,267,6400
Couples Retreat,English,Comedy,147,165,25684,Color,USA,7,PG-13,60000000,2009,113,86478,5.5,1.85,4100,3100,3900,2300,4200
The Italian Job,English,Action|Crime|Thriller,500,155,59387,Color,USA,6,PG-13,60000000,2003,111,298259,7,2.35,9100,7100,8900,497,26000
Daddy Day Care,English,Comedy|Family,117,81,14900,Color,USA,7,PG,60000000,2003,92,52197,5.5,1.85,2500,910,2400,42,3600
The General's Daughter,English,Crime|Drama|Mystery|Thriller,280,114,13079,Color,USA,0,R,95000000,1999,116,44534,6.3,2.35,1900,1000,1700,165,4600
The Prince of Egypt,English,Adventure|Animation|Drama|Family|Fantasy|Musical,358,121,51059,Color,USA,0,PG,70000000,1998,99,96411,7,1.85,8700,5500,6700,58,8700
Collateral,English,Crime|Drama|Thriller,843,299,39447,Color,USA,0,R,65000000,2004,115,306605,7.6,2.35,8400,7400,6600,1200,11000
Two Weeks Notice,English,Comedy|Romance,272,118,16535,Color,USA,2,PG-13,60000000,2002,101,90233,6.1,1.85,2600,1900,2500,31,8700
Cats & Dogs,English,Action|Comedy|Family|Fantasy,238,104,10930,Color,USA,0,PG,60000000,2001,87,48169,5.1,1.85,3000,1700,696,6,6700
Antz,English,Adventure|Animation|Comedy|Family,293,131,49015,Color,USA,0,PG,105000000,1998,83,129593,6.6,1.85,11000,1700,6700,39,13000
The Scorpion King,English,Action|Adventure|Fantasy|Thriller,435,166,28556,Color,USA,4,PG-13,60000000,2002,92,108164,5.5,2.35,8200,1700,3000,60,13000
RED,English,Action|Comedy|Crime|Thriller,333,316,33642,Color,USA,4,PG-13,58000000,2010,111,250186,7.1,2.35,11000,32000,6300,126,13000
Starsky and Hutch,English,Action|Crime|Drama|Mystery,29,4,996,Color,USA,0,,,,60,5254,7,4,319,814,274,,371
Days of Thunder,English,Action|Drama|Sport,100,59,34457,Color,USA,0,PG-13,60000000,1990,107,63743,5.9,2.35,5600,2500,4700,12000,11000
Cheaper by the Dozen 2,English,Adventure|Comedy|Family,129,76,33652,Color,USA,15,PG,60000000,2005,94,45221,5.4,2.35,6600,800,3000,162,12000
Jack Reacher,English,Action|Crime|Mystery|Thriller,470,394,29363,Color,USA,2,PG-13,60000000,2012,130,251081,7,2.35,4400,38000,3100,192,11000
Eat Pray Love,English,Drama|Romance,309,216,24681,Color,USA,1,PG-13,60000000,2010,133,68177,5.7,1.85,8100,27000,4100,715,11000
Man on Fire,English,Action|Crime|Drama|Thriller,697,172,38419,Color,USA,2,R,70000000,2004,146,280110,7.7,2.35,6900,15000,6700,12000,19000
The Family Man,English,Comedy|Drama|Fantasy|Romance,326,127,20496,Color,USA,4,PG-13,60000000,2000,125,89569,6.7,2.35,3000,5900,1400,486,13000
Contagion,English,Drama|Thriller,414,444,28735,Color,USA,4,PG-13,60000000,2011,106,187155,6.6,1.85,6100,42000,4200,1500,14000
Any Given Sunday,English,Drama|Sport,455,172,34013,Color,USA,6,R,55000000,1999,162,100462,6.8,2.35,4900,3000,2900,2200,15000
The Horse Whisperer,English,Drama|Romance|Western,265,97,32739,Color,USA,0,PG-13,60000000,1998,170,33723,6.6,1.85,6400,2200,1900,6400,19000
Coraline,English,Animation|Family|Fantasy,287,317,15052, Black and White,USA,1,PG,60000000,2009,100,156803,7.7,1.85,3700,11000,2700,258,6900
Ladder 49,English,Action|Drama|Thriller,322,114,17538,Color,USA,2,PG-13,55000000,2004,115,49908,6.5,1.85,4400,1300,2200,29,4600
Deep Blue Sea,English,Action|Sci-Fi|Thriller,642,203,15966,Color,USA,1,R,60000000,1999,105,103565,5.8,2.35,3300,3400,1300,227,7500
Kangaroo Jack,English,Action|Adventure|Comedy|Crime,181,72,15697,Color,USA,0,PG,60000000,2003,89,24524,4.4,2.35,3900,882,1400,18,6700
This Is It,English,Documentary|Music,224,139,3692,Color,USA,0,PG,60000000,2009,111,34119,7.3,1.78,435,3800,218,198,3000
London Has Fallen,English,Action|Crime|Drama|Thriller,419,250,22820,Color,UK,3,R,60000000,2016,99,100989,5.9,2.35,2500,31000,1000,28,18000
The Shaggy Dog,English,Comedy|Family|Fantasy,84,76,27816,Color,USA,0,PG,50000000,2006,98,15533,4.4,2.35,1700,768,1300,53,21000
The Happening,English,Sci-Fi|Thriller,1281,328,27967,Color,USA,0,R,48000000,2008,91,171040,5,1.85,8900,6300,3100,3100,11000
Rules of Engagement,English,Comedy|Romance,46,6,6006,Color,USA,4,TV-PG,,,22,27697,7.3,1.78,1100,1700,740,,2800
Jingle All the Way,English,Comedy|Family,170,82,12791,Color,USA,2,PG,60000000,1996,89,73265,5.5,1.85,853,6300,705,32,7900
Hellboy,English,Action|Fantasy|Horror|Sci-Fi,602,244,20059,Color,USA,3,PG-13,66000000,2004,122,255974,6.8,1.85,5800,4400,3200,7300,6900
Khong quay dau,English,Action|Adventure|Crime|Mystery|Thriller,253,268,22029,Color,China,1,PG-13,60000000,2016,118,78692,6.1,2.35,5900,14000,3200,402,11000
A Civil Action,English,Drama,182,113,26678,Color,USA,1,PG-13,75000000,1998,115,24041,6.5,2.35,4600,1000,3100,244,8000
Joy,English,Drama,280,334,76489,Color,USA,3,PG-13,60000000,2015,124,97903,6.6,1.85,22000,26000,14000,755,34000
ParaNorman,English,Adventure|Animation|Comedy|Family|Fantasy,182,332,24739,Color,USA,0,PG,60000000,2012,92,78055,7,2.35,3300,12000,2200,28,10000
The Jackal,English,Action|Crime|Drama|Thriller,228,85,51128,Color,USA,0,R,60000000,1997,124,91453,6.3,2.35,13000,2200,7700,116,24000
Up Close & Personal,English,Drama|Romance,56,34,17208,Color,USA,2,PG-13,60000000,1996,124,11808,6.1,1.85,4600,870,2300,51,6400
The Tale of Despereaux,English,Adventure|Animation|Comedy|Family|Fantasy,106,117,44346,Color,UK,0,G,60000000,2008,93,32134,6.1,2.35,8700,1200,7200,18,9200
Paycheck,English,Action|Mystery|Sci-Fi|Thriller,349,194,24579,Color,USA,0,PG-13,60000000,2003,119,92598,6.3,2.35,4500,2200,3900,628,6800
The Boxtrolls,English,Adventure|Animation|Comedy|Family|Fantasy,124,223,16637,Color,USA,3,PG,60000000,2014,96,45413,6.8,1.85,3500,12000,1800,7,3900
Jack Ryan: Shadow Recruit,English,Action|Drama|Thriller,294,315,24972,Color,USA,3,PG-13,60000000,2014,105,103758,6.2,2.35,6700,17000,4800,4800,7700
The Tuxedo,English,Action|Comedy|Sci-Fi,207,82,16965,Color,USA,2,PG-13,60000000,2002,98,65695,5.3,1.85,3100,852,2600,11,6700
Under Siege 2: Dark Territory,English,Action|Thriller,130,42,16146,Color,USA,1,R,60000000,1995,100,37559,5.4,1.85,4500,1000,2200,17,4900
Miss Congeniality 2: Armed and Fabulous,English,Action|Comedy|Crime,159,111,23217,Color,USA,2,PG-13,45000000,2005,115,54821,5,2.35,4100,643,2300,11,8700
Alien: Resurrection,English,Action|Horror|Sci-Fi,672,233,21121,Color,USA,0,R,75000000,1997,109,184738,6.3,2.35,4000,4100,3600,1300,5800
Practical Magic,English,Comedy|Drama|Fantasy|Romance,258,95,27426,Color,USA,1,PG-13,48000000,1998,104,58831,6.2,2.35,5600,7100,3200,196,8700
Shooter,English,Action|Drama,41,4,8527,Color,USA,0,,,,60,11967,7.7,16,1800,3600,1200,,2900
Gangster Squad,English,Action|Crime|Drama|Thriller,266,421,42598,Color,USA,3,R,60000000,2013,113,181579,6.7,2.35,4700,40000,3000,181,33000
Year One,English,Adventure|Comedy,207,169,28969,Color,USA,2,PG-13,60000000,2009,97,79058,4.9,1.85,4800,2700,3100,11000,10000
Edge of Darkness,English,Crime|Drama|Mystery|Thriller,259,261,12892,Color,UK,1,R,80000000,2010,117,78601,6.6,2.35,2000,5200,1000,267,5400
Reign of Fire,English,Action|Adventure|Fantasy|Sci-Fi|Thriller,572,138,55556,Color,USA,0,PG-13,60000000,2002,101,111823,6.2,2.35,18000,4500,12000,39,23000
Star Trek: Nemesis,English,Action|Adventure|Sci-Fi|Thriller,848,172,43415,Color,USA,0,PG-13,60000000,2002,116,61474,6.4,2.35,5800,1500,3600,55,27000
Planet 51,English,Adventure|Animation|Comedy|Family|Sci-Fi,72,155,36488,Color,Spain,2,PG,70000000,2009,91,43039,6.1,2.35,10000,1700,4300,3,13000
Righteous Kill,English,Action|Crime|Drama|Mystery|Thriller,255,197,49512,Color,USA,2,R,60000000,2008,101,75625,6,2.35,15000,2100,3200,51,22000
Duplicity,English,Comedy|Crime|Romance|Thriller,184,210,21972,Color,USA,0,PG-13,60000000,2009,125,42760,6.2,2.35,7200,1300,3900,218,8100
Invictus,English,Biography|Drama|History|Sport,263,310,25463,Color,USA,1,PG-13,60000000,2009,134,130534,7.4,2.35,11000,23000,200,17000,14000
State of Play,English,Drama|Mystery|Thriller,237,253,54709,Color,USA,3,PG-13,,2009,127,117391,7.1,2.35,8300,5300,7400,163,18000
My Favorite Martian,English,Comedy|Family|Sci-Fi,15,1,1218, Black and White,USA,0,,,,30,1328,7.3,4,426,488,8,,784
The Sentinel,English,Action|Crime|Thriller,216,160,10847, Black and White,USA,0,PG-13,60000000,2006,108,43371,6.1,2.35,2500,717,1500,72,4100
Trouble with the Curve,English,Drama|Sport,158,240,38237,Color,USA,1,PG-13,60000000,2012,111,50591,6.8,2.35,9800,12000,3300,39,17000
Intolerable Cruelty,English,Comedy|Crime|Romance,324,164,24537,Color,USA,1,PG-13,60000000,2003,100,79575,6.3,1.85,3800,2000,3400,1700,9500
Smurfs: The Lost Village,English,Adventure|Animation|Comedy|Family|Fantasy,44,85,38185,Color,USA,0,PG,60000000,2017,90,3730,5.8,1.85,8100,2000,7700,25,8500
The Relic,English,Horror|Mystery|Sci-Fi|Thriller,167,95,6656,Color,UK,0,R,40000000,1997,110,20170,5.7,2.35,1700,1000,532,2200,2900
Mercury Rising,English,Action|Crime|Drama|Thriller,129,79,24901,Color,USA,2,R,60000000,1998,111,56555,6.1,2.35,2600,1400,2400,17,13000
Almost Famous,English,Adventure|Comedy|Drama|Music,830,148,48505,Color,USA,1,R,60000000,2000,122,216583,7.9,1.85,11000,15000,3400,499,22000
The Soloist,English,Biography|Drama|Music,149,208,29072,Color,UK,0,PG-13,60000000,2009,117,45426,6.7,2.35,2900,5600,1200,455,21000
The Mortal Instruments: City of Bones,English,Action|Fantasy|Horror|Mystery|Romance,463,214,44867,Color,USA,4,PG-13,60000000,2013,130,112377,5.9,2.35,6300,44000,5500,93,9700
Analyze That,English,Comedy|Crime,138,106,25529,Color,USA,1,R,60000000,2002,96,72333,5.9,1.85,1400,867,1200,11000,22000
The Legend of Bagger Vance,English,Drama|Fantasy|Sport,269,124,36101,Color,USA,3,PG-13,80000000,2000,126,47377,6.7,1.85,10000,2400,9100,6400,14000
Garfield 2,English,Animation|Comedy|Family|Fantasy,76,77,20570,Color,UK,0,PG,60000000,2006,82,29803,5,1.85,3100,498,1400,26,13000
Dragonfly,English,Drama|Fantasy|Mystery|Romance|Thriller,246,117,8641,Color,USA,0,PG-13,60000000,2002,104,32764,6.1,2.35,2100,1900,842,304,4300
Priest,English,Action|Fantasy|Horror|Sci-Fi|Thriller,234,225,37462,Color,USA,0,PG-13,60000000,2011,87,100691,5.7,2.35,6300,21000,5500,123,8400
xXx: State of the Union,English,Action|Adventure|Crime|Drama|Mystery|Thriller,219,82,20361,Color,USA,0,PG-13,60000000,2005,101,56891,4.4,2.35,4700,1700,3900,97,7500
Sinbad: Legend of the Seven Seas,English,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,93,98,27110,Color,USA,0,PG,60000000,2003,85,38754,6.7,1.66,4600,931,3400,0,12000
Event Horizon,English,Horror|Sci-Fi|Thriller,870,174,9670,Color,UK,0,R,60000000,1997,96,127878,6.7,2.35,2500,12000,1900,569,2600
Dark Water,English,Drama|Horror|Thriller,412,195,19220,Color,USA,2,PG-13,30000000,2005,105,50883,5.6,2.35,5200,1400,3200,180,6400
The Avengers,English,Action|Sci-Fi,1735,710,130096,Color,USA,3,PG-13,220000000,2012,143,1046486,8.1,1.85,21000,123000,19000,5300,26000
Edtv,English,Comedy|Drama,193,115,1147,Color,USA,0,PG-13,80000000,1999,122,36627,6.1,1.85,188,660,157,2300,274
The Black Dahlia,English,Crime|Drama|Mystery|Thriller,648,240,31413,Color,Germany,0,R,50000000,2006,121,65012,5.6,2.35,3600,2000,2500,1500,19000
The Spirit,English,Action|Crime|Fantasy|Thriller,294,225,38697,Color,USA,0,PG-13,60000000,2008,103,55114,4.8,2.35,7500,2100,3700,441,19000
The Last Castle,English,Action|Drama|Thriller,283,111,24117,Color,USA,3,R,72000000,2001,131,59424,6.9,2.35,6600,3800,6400,39,8000
Inkheart,English,Adventure|Family|Fantasy,112,161,19331,Color,Germany,3,PG,60000000,2008,106,63262,6.1,2.35,3900,2600,3200,35,4800
Supernova,English,Horror|Sci-Fi|Thriller,284,98,12253,Color,USA,0,PG-13,90000000,2000,90,15110,4.8,2.35,3000,628,1900,417,3000
Winter's Tale,English,Drama|Fantasy|Mystery|Romance,130,188,38981,Color,USA,0,PG-13,60000000,2014,118,44186,6.2,2.35,7400,17000,6400,173,20000
Flyboys,English,Action|Adventure|Drama|History|Romance|War,246,122,16613, Black and White,UK,1,PG-13,60000000,2006,140,36847,6.6,2.35,3900,2100,775,24,11000
Holy Man,English,Comedy|Drama,88,56,25823,Color,USA,1,PG,60000000,1998,114,16897,4.9,2.35,5000,313,4200,82,6700
Meet Dave,English,Adventure|Comedy|Family|Romance|Sci-Fi,111,124,17076,Color,USA,0,PG,60000000,2008,90,33046,4.9,1.85,3600,814,2000,53,4600
Mortdecai,English,Action|Comedy|Crime|Mystery|Romance,199,183,64791,Color,UK,2,R,60000000,2015,107,52137,5.5,2.35,6700,12000,6400,198,40000
The Great Raid,Filipino,Action|Drama|War,184,84,19968, Black and White,USA,0,R,80000000,2005,132,19099,6.7,2.35,5300,1400,1200,133,11000
In the Name of the King: A Dungeon Siege Tale,English,Action|Adventure|Fantasy|Thriller,372,140,47200,Color,Germany,3,PG-13,60000000,2007,127,39563,3.8,2.35,5800,4200,2800,898,26000
Rock Dog,English,Adventure|Animation|Comedy|Family|Music,15,27,39120,Color,China,0,PG,60000000,2016,90,1216,5.7,1.85,6200,633,3100,9,24000
Beyond Borders,English,Adventure|Drama|Romance|War,156,54,20227,Color,USA,2,R,35000000,2003,127,23354,6.5,2.35,7200,2100,714,267,11000
The Ridiculous 6,English,Comedy|Western,154,55,59595,Color,USA,4,TV-14,60000000,2015,119,31221,4.8,2.35,11000,9600,11000,155,12000
American Sniper,English,Action|Biography|Drama|History|Thriller|War,935,503,17908,Color,USA,0,R,58800000,2014,133,353699,7.3,2.35,1600,112000,969,17000,14000
Deadpool,English,Action|Adventure|Comedy|Romance|Sci-Fi,1185,629,23700,Color,USA,0,R,58000000,2016,108,629876,8,2.35,3800,125000,1500,92,16000
Goosebumps,English,Adventure|Comedy|Family|Fantasy|Horror,174,228,12849,Color,USA,4,PG,58000000,2015,103,57697,6.3,2.35,3100,36000,2100,11,3800
Rambo III,English,Action|Adventure|Thriller|War,178,84,14590,Color,USA,0,R,63000000,1988,102,97525,5.7,2.35,1000,2200,359,11,13000
"Sabrina, the Teenage Witch",English,Comedy|Family|Fantasy,98,20,4303,Color,USA,1,TV-G,3000000,,22,25906,6.6,1.33,894,1100,561,,1800
Red Tails,English,Action|Adventure|Drama|History|War,274,144,18635,Color,USA,0,PG-13,58000000,2012,125,29727,5.9,2.35,2500,9900,2200,146,7100
Just Like Heaven,English,Comedy|Fantasy|Romance,266,116,14638,Color,USA,1,PG-13,58000000,2005,95,86001,6.7,1.85,3900,4400,1200,72,6600
The Flintstones in Viva Rock Vegas,English,Comedy|Family|Romance|Sci-Fi,86,57,9749,Color,USA,0,PG,83000000,2000,90,16466,3.6,1.85,1200,538,1000,32,2100
The Internship,English,Comedy,283,247,18871,Color,USA,2,PG-13,58000000,2013,119,166520,6.3,2.35,3600,23000,3500,206,3900
Leatherheads,English,Comedy|Drama|Romance|Sport,119,188,12357,Color,USA,8,PG-13,58000000,2008,114,28373,6,1.85,2200,495,174,9500,9500
Did You Hear About the Morgans,English,Comedy|Drama|Romance,122,131,17174,Color,USA,2,PG-13,58000000,2009,103,30927,4.8,2.35,2700,1800,2500,31,6200
Life,English,Horror|Sci-Fi|Thriller,330,294,34238,Color,USA,0,R,58000000,2017,104,41644,6.9,2.35,15000,12000,1500,88,16000
Resident Evil: Afterlife,English,Action|Adventure|Horror|Sci-Fi,415,256,32826,Color,Germany,1,R,60000000,2010,97,141054,5.9,2.35,9100,19000,2300,569,14000
Sex and the City,English,Comedy|Drama|Romance,243,38,6729,Color,USA,0,TV-MA,,,30,84643,7,1.33,1400,3800,980,,2700
That's My Boy,English,Comedy|Drama,207,157,23568,Color,USA,2,R,70000000,2012,116,74518,5.6,2.35,3000,13000,2900,52,11000
The Devil's Advocate,English,Drama|Mystery|Thriller,436,119,47546,Color,USA,2,R,57000000,1997,144,273390,7.5,2.35,15000,12000,9100,142,19000
Ghost Rider: Spirit of Vengeance,English,Action|Fantasy|Thriller,337,288,28939,Color,USA,1,PG-13,57000000,2011,96,92600,4.3,2.35,8500,18000,1500,83,13000
After the Sunset,English,Action|Comedy|Crime|Drama,147,118,20425,Color,USA,3,PG-13,58000000,2004,97,39593,6.3,2.35,4200,800,3400,486,5100
DragonHeart,English,Action|Adventure|Fantasy,141,61,13084,Color,USA,0,PG-13,57000000,1996,103,80876,6.4,2.35,2500,2200,2000,364,5200
Captain Corelli's Mandolin,English,Drama|Music|Romance|War,221,96,35548,Color,UK,2,R,57000000,2001,131,29020,5.9,2.35,6900,1600,5300,124,23000
Anger Management,English,Comedy|Romance,57,25,13526,Color,USA,1,,,,22,27780,6.7,16,1200,4200,966,,8100
The Pacifier,English,Action|Comedy|Drama|Family|Thriller,227,127,24094,Color,Canada,0,PG,56000000,2005,95,71226,5.6,2.35,3400,2200,2200,162,14000
Forrest Gump,English,Comedy|Drama|Romance,1502,153,19622, Black and White,USA,0,PG-13,55000000,1994,142,1361438,8.8,2.35,3900,61000,298,1400,15000
Truy l,Mandarin,Action|Adventure|Animation|Comedy|Fantasy,18,25,358,Color,China,2,,,2015,117,2950,6.2,2.35,106,812,8,20,226
Walking Tall,English,Action|Crime,224,117,24067,Color,USA,1,PG-13,56000000,2004,86,55972,6.2,2.35,3200,1600,2500,11,13000
Alvin and the Chipmunks,English,Animation|Comedy|Family|Fantasy|Music,148,130,12243,Color,USA,0,PG,60000000,2007,92,60587,5.2,1.85,3300,1800,1400,26,3300
Hitch,English,Comedy|Romance,376,171,24450,Color,USA,1,PG-13,70000000,2005,118,255751,6.6,2.35,3700,6300,3200,74,10000
Meet the Parents,English,Comedy|Romance,509,148,33661,Color,USA,2,PG-13,55000000,2000,108,271130,7,1.85,3500,3200,3500,118,22000
Pocahontas,English,Adventure|Animation|Drama|Family|Musical|Romance,220,94,36506,Color,USA,1,G,55000000,1995,81,130061,6.7,1.78,5400,2800,2000,12,23000
The Nutty Professor,English,Comedy|Romance|Sci-Fi,105,57,6887,Color,USA,1,PG-13,54000000,1996,95,91094,5.6,1.85,881,1000,858,304,3600
Superman,English,Action|Adventure|Drama|Sci-Fi,506,170,19035,Color,USA,0,PG,55000000,1978,143,133240,7.3,2.35,2700,7500,1900,521,10000
Fifty Shades Darker,English,Drama|Romance,209,209,16257,Color,USA,1,R,55000000,2017,118,46247,4.6,2.35,2600,18000,1500,177,6200
The Pursuit of Happyness,English,Biography|Drama,623,202,22172,Color,USA,0,PG-13,55000000,2006,117,361463,8,2.35,5300,34000,3300,128,10000
Captain Phillips,English,Biography|Drama|Thriller,543,499,19980,Color,USA,0,PG-13,55000000,2013,134,346473,7.8,2.35,1200,66000,1200,535,15000
George of the Jungle,English,Action|Adventure|Comedy|Family|Romance,106,55,10408,Color,USA,1,PG,55000000,1997,92,59071,5.4,1.85,2200,5100,2200,38,3200
American Wedding,English,Comedy|Romance,333,152,13062,Color,USA,3,R,55000000,2003,96,169041,6.3,2.35,3000,1300,1900,58,3100
The Equalizer,English,Action|Crime|Thriller,462,300,45383,Color,USA,0,R,55000000,2014,132,249785,7.2,2.35,17000,57000,3200,926,19000
Casper,English,Comedy|Family|Fantasy,95,27,7319,Color,USA,0,PG,50000000,1995,100,91991,6,1.85,1400,3600,872,52,3100
Crimson Tide,English,Action|Drama|Thriller|War,199,83,44479,Color,USA,0,R,53000000,1995,116,85062,7.3,2.35,10000,2900,8000,12000,19000
Maid in Manhattan,English,Comedy|Drama|Romance,243,111,26984,Color,USA,2,PG-13,55000000,2002,105,71575,5.1,2.35,5000,2500,4800,60,8700
Flightplan,English,Drama|Mystery|Thriller,601,231,16997,Color,USA,1,PG-13,55000000,2005,98,132244,6.2,2.35,6400,2800,1700,126,6500
Date Night,English,Comedy|Crime|Romance|Thriller,212,247,67845,Color,USA,2,PG-13,55000000,2010,88,133031,6.3,2.35,11000,7300,8900,206,15000
Disclosure,English,Drama|Thriller,96,56,10098,Color,USA,1,R,55000000,1994,128,38433,6,2.35,2500,1200,2200,284,3400
Paddington,English,Comedy|Family|Fantasy,184,231,9978,Color,UK,0,PG,55000000,2014,95,54802,7.2,2.35,2600,30000,853,18,3600
RV,English,Adventure|Comedy|Family,253,103,71960,Color,UK,0,PG,65000000,2006,99,48130,5.5,2.35,14000,2200,2000,196,49000
City of Angels,English,Drama|Fantasy|Romance,327,110,17751,Color,Germany,1,PG-13,55000000,1998,114,98399,6.7,2.35,2800,8100,707,52,13000
Stargate SG-1,English,Action|Adventure|Drama|Sci-Fi,184,69,7687,Color,USA,4,TV-14,1400000,,44,68506,8.4,1.33,1900,3300,1100,,3300
Kill Bill: Vol. 1,English,Action|Crime|Thriller,2131,356,13989, Black and White,USA,0,R,30000000,2003,111,787481,8.1,2.35,2700,14000,2500,16000,3100
Mr. Popper's Penguins,English,Comedy|Family|Fantasy,110,187,23499,Color,USA,1,PG,55000000,2011,94,71536,6,1.85,3200,14000,2800,72,8900
Bowfinger,English,Comedy,360,140,38368,Color,USA,2,PG-13,55000000,1999,97,58738,6.4,1.37,6600,2000,3600,1100,21000
Kill Bill: Vol. 2,English,Action|Crime|Drama|Thriller,949,305,2547, Black and White,USA,0,R,30000000,2004,137,543422,8,2.35,862,7000,351,16000,903
Tango & Cash,English,Action|Comedy|Crime|Thriller,154,44,23652,Color,USA,1,R,55000000,1989,104,79573,6.3,2.35,3600,3600,3100,99,13000
Shanghai Noon,English,Action|Adventure|Comedy|Western,296,145,16211,Color,USA,2,PG-13,55000000,2000,110,101665,6.6,2.35,3500,1100,2700,9,6700
Death Becomes Her,English,Comedy|Fantasy|Horror,177,54,29266,Color,USA,3,PG-13,55000000,1992,104,83531,6.4,1.85,13000,8300,1600,1400,13000
Executive Decision,English,Action|Adventure|Thriller,148,59,19573,Color,USA,0,R,55000000,1996,133,42578,6.4,2.35,3700,1400,3600,55,4900
Free Birds,English,Adventure|Animation|Comedy|Family,75,120,17148,Color,USA,2,PG,55000000,2013,91,19041,5.9,1.85,3500,5700,2700,39,5100
The Forbidden Kingdom,English,Action|Adventure|Fantasy,282,206,13960,Color,USA,0,PG-13,55000000,2008,104,91105,6.6,2.35,5000,2900,957,51,6700
Alien 3,English,Action|Horror|Sci-Fi,799,235,14857,Color,USA,0,R,50000000,1992,114,224703,6.4,2.35,4000,4100,2000,21000,5200
Muppets Most Wanted,English,Adventure|Comedy|Crime|Family|Musical|Mystery,113,278,9319,Color,USA,4,PG,50000000,2014,107,25865,6.4,1.85,2000,10000,1900,36,3000
The Phantom of the Opera,English,Drama|Musical|Romance|Thriller,2054,152,29160, Black and White,UK,0,PG-13,70000000,2004,143,100661,7.3,2.35,4100,8000,2800,558,18000
Kubo and the Two Strings,English,Adventure|Animation|Family|Fantasy,210,267,38841,Color,USA,0,PG,60000000,2016,101,73298,7.9,2.35,9100,22000,8700,15,12000
Evita,English,Biography|Drama|History|Musical,197,75,8965,Color,USA,1,PG,55000000,1996,135,30128,6.3,2.35,1700,1500,1400,342,5700
Ronin,English,Action|Adventure|Crime|Thriller,575,146,39595,Color,UK,1,R,55000000,1998,122,150679,7.3,2.35,6400,6000,3900,299,22000
The Ghost and the Darkness,English,Adventure|Drama|Horror|Thriller,163,64,9413,Color,Germany,0,R,55000000,1996,110,48267,6.8,2.35,2500,3600,1300,82,3600
Changeling,English,Biography|Drama|Mystery|Thriller,394,263,21729,Color,USA,0,R,55000000,2008,141,206949,7.8,2.35,8800,14000,1000,17000,11000
Burlesque,English,Drama|Music|Musical|Romance,225,196,33981,Color,USA,2,PG-13,55000000,2010,119,64625,6.4,2.35,4800,19000,4200,67,8400
The Watch,English,Action|Comedy|Sci-Fi,211,265,17630,Color,USA,4,R,68000000,2012,102,108177,5.7,2.35,3500,16000,2600,81,3900
The Stalker Club,English,Drama,1,1,719,Color,USA,5,TV-14,1000000,2017,90,48,5.9,1.78,127,2,121,29,177
Stuck on You,English,Comedy,157,123,22178,Color,USA,2,PG-13,55000000,2003,118,45920,5.8,2.35,3700,1500,1800,104,14000
Instinct,English,Drama|Thriller,234,99,19047,Color,USA,0,R,80000000,1999,126,28161,6.5,2.35,3400,2400,2200,230,12000
Crimson Peak,English,Drama|Fantasy|Horror|Mystery|Romance|Thriller,362,430,38267,Color,USA,1,R,55000000,2015,119,97684,6.6,1.85,8600,45000,5400,7300,16000
The Pirates! Band of Misfits,English,Adventure|Animation|Comedy|Family,101,237,29383,Color,UK,0,PG,55000000,2012,88,38299,6.7,2.35,5900,7700,5200,94,6100
Semi-Pro,English,Comedy|Sport,119,163,21316,Color,USA,3,R,55000000,2008,91,69443,5.8,2.35,5100,1400,2300,3,8000
,English,Action|Sci-Fi,533,180,21136,Color,USA,0,PG-13,62000000,2005,93,113173,5.5,2.35,5200,2500,2500,48,9100
The Fan,English,Action|Drama|Sport|Thriller,92,53,33086,Color,USA,0,R,55000000,1996,116,40122,5.8,2.35,3700,1400,2400,12000,22000
Chain Reaction,English,Action|Drama|Sci-Fi|Thriller,95,47,38891,Color,USA,1,PG-13,50000000,1996,107,42001,5.6,1.85,11000,1000,5300,103,19000
Elizabeth: The Golden Age,English,Biography|Drama|History|War,215,201,35160,Color,UK,1,PG-13,55000000,2007,114,57226,6.9,1.85,7200,2600,6200,162,13000
Gods and Generals,English,Drama|History|War,498,83,1706,Color,USA,0,PG-13,56000000,2003,219,13602,6.3,2.35,647,1000,68,34,811
Imagine That,English,Comedy|Drama|Family|Fantasy,40,93,14749,Color,USA,2,PG,55000000,2009,107,11013,5.6,2.35,3600,691,1600,11,4500
Turbulence,English,Action|Thriller,86,45,8578,Color,USA,0,R,71000000,1997,100,9339,4.8,2.35,1700,381,1000,0,2800
Bullet to the Head,English,Action|Thriller,132,283,35752,Color,USA,3,R,55000000,2012,92,41016,5.7,1.85,12000,10000,3400,417,13000
All the King's Men,English,Drama|Thriller,180,129,56883, Black and White,Germany,0,PG-13,55000000,2006,128,21359,6.2,1.85,12000,1400,8000,244,14000
Un long dimanche de fian,French,Documentary,,,10926,Color,France,,,,2004,26,48,7.4,1.78,1300,0,230,0,9200
Thunderbirds Are Go,English,Action|Adventure|Animation|Family|Sci-Fi,40,2,10149,Color,UK,6,TV-G,,,22,1070,6.9,16,4400,1900,569,,4600
